Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
loam,8.90808859553496,daily,none,16.38722601750331,78.16112697203056,0
loam,9.164383499538062,daily,none,17.01556002754853,30.60772373449082,1
sandy,4.041712783187144,daily,chemical,15.364436513030995,78.49394133538195,0
loam,7.064483815465394,weekly,none,16.88885921511857,32.1579955975288,0
loam,6.504466018892674,daily,organic,28.660135468327137,74.55715568490356,1
clay,5.332646862824381,bi-weekly,chemical,16.42377296920458,56.385055454314994,1
sandy,4.719192204002097,bi-weekly,none,21.379512605875227,79.64823980596502,0
clay,6.025691028421768,daily,chemical,31.89750621938909,33.68982823676994,0
clay,9.657458223475114,daily,organic,15.465438714716518,57.69271422006604,0
clay,5.939217592124532,bi-weekly,chemical,31.289369651778717,78.46512678095495,0
clay,7.112743730460196,bi-weekly,chemical,20.637095495468,56.15489220850744,1
clay,8.218113753371068,weekly,chemical,17.363296552433127,61.46993190676312,1
clay,6.181777614275764,bi-weekly,chemical,28.934743307283014,64.78743444923086,1
clay,9.830692496325764,weekly,organic,27.578856935597678,52.72705323838866,0
sandy,9.774683769652668,weekly,chemical,32.549440270541055,61.377904004203174,1
loam,5.510693774952185,weekly,chemical,29.701420876077716,59.21571559615501,0
clay,6.983491035354312,weekly,none,31.06961860769697,75.05790052454944,1
clay,5.805269858900618,weekly,chemical,20.64069145142613,32.272319017072896,1
clay,5.709042966264805,daily,none,18.548790875594456,44.04815947961151,1
clay,4.221321684127197,bi-weekly,organic,30.012295032817168,77.52057420382793,1
clay,7.657386003879381,weekly,organic,31.13669478534528,74.51318919454582,0
clay,7.016074139373169,bi-weekly,organic,34.81010284001347,52.782837639285646,0
loam,4.308872507499936,bi-weekly,organic,23.25235353822853,61.00662989007684,1
loam,5.671878785419668,weekly,none,22.440361715855666,43.86905914905663,1
clay,9.449595315799922,daily,chemical,30.528259214839935,39.40605798618807,1
loam,5.437371344001835,weekly,organic,21.816070805060356,53.18492024699911,1
sandy,4.8693692325473386,daily,chemical,33.61514651207129,47.667611401302636,1
clay,6.936716561665378,bi-weekly,none,32.16825503686024,59.1828055925436,0
sandy,9.913902724663604,daily,none,23.579880547500366,33.88673184824924,1
sandy,5.452331629069002,daily,none,30.017421355829946,78.71974038330833,0
clay,8.03281328443527,daily,organic,30.090857481693646,79.31053722398013,0
loam,8.569717691972306,bi-weekly,chemical,17.062477376718654,64.90808570098726,1
sandy,5.425825263954398,bi-weekly,chemical,33.05105813359133,56.80481831720602,1
clay,8.369298091671158,daily,chemical,25.105047448957144,45.476380814316386,0
sandy,6.20669879631552,daily,none,31.529149322154833,70.68975098534743,1
sandy,7.793834983561477,weekly,organic,21.400992020612236,64.23655862769397,1
sandy,7.801178264565368,daily,none,32.91046456992401,38.130846967244565,0
sandy,7.214648104448551,weekly,none,22.784033574683264,75.54635922469213,0
loam,4.54173862032645,daily,chemical,15.216753029605968,71.12686214615846,1
sandy,9.011814973535428,weekly,none,33.10763952838528,77.4899956645962,0
sandy,5.9246803898304155,bi-weekly,chemical,16.82573353572267,66.28597541941801,0
sandy,5.119111062399125,daily,organic,21.3862727518083,60.6707597967895,1
loam,4.2446508493285835,daily,chemical,34.0012393410161,50.912151814530944,0
sandy,7.545357659129451,daily,organic,34.012142938751126,76.63642416770065,0
sandy,8.065386171053694,daily,chemical,26.46875776246572,73.30319447502042,0
sandy,8.0,daily,organic,25.0,60.0,1
clay,5.0,weekly,chemical,20.0,70.0,0
loam,6.0,bi-weekly,none,22.0,55.0,1
loam,7.0,daily,organic,30.0,50.0,0
clay,6.812,weekly,organic,26.5,65.2,1
sandy,7.445,daily,chemical,18.3,48.7,0
loam,5.229,bi-weekly,organic,24.7,52.1,1
sandy,8.318,weekly,none,20.1,62.5,0
clay,6.134,daily,none,27.4,70.3,1
loam,4.789,bi-weekly,chemical,31.6,68.9,0
sandy,7.019,daily,organic,22.5,55.4,1
clay,5.932,weekly,chemical,17.8,46.2,0
loam,8.442,bi-weekly,none,19.3,54.1,1
sandy,6.356,daily,none,30.8,63.7,0
clay,9.128,weekly,organic,15.7,40.6,0
loam,4.546,daily,chemical,29.1,71.2,1
sandy,7.627,bi-weekly,organic,23.9,69.8,0
clay,8.443,daily,none,27.6,49.3,1
loam,5.689,weekly,chemical,20.8,57.5,0
sandy,4.118,bi-weekly,none,31.2,50.4,1
clay,6.917,daily,organic,18.9,67.1,0
loam,7.456,bi-weekly,none,24.6,55.9,1
sandy,8.902,daily,chemical,15.2,43.7,0
clay,5.667,weekly,organic,30.3,73.6,1
loam,9.121,bi-weekly,none,26.1,61.9,0
sandy,4.753,daily,chemical,18.7,47.4,1
clay,7.318,weekly,none,22.3,68.5,0
loam,5.589,daily,organic,31.9,52.3,1
sandy,8.556,bi-weekly,chemical,19.6,60.7,0
clay,6.127,daily,none,25.7,70.9,1
loam,4.372,weekly,organic,27.2,55.2,0
sandy,7.245,daily,none,30.4,63.4,1
clay,9.872,bi-weekly,chemical,17.1,49.7,0
loam,5.477,daily,organic,22.8,71.5,1
sandy,4.649,weekly,none,28.5,55.1,0
clay,8.512,bi-weekly,chemical,21.4,69.3,1
loam,6.832,daily,none,31.7,47.8,0
sandy,5.612,weekly,organic,19.2,61.6,1
clay,7.428,daily,none,26.9,68.2,0
loam,4.918,bi-weekly,chemical,24.3,54.9,1
sandy,8.745,weekly,none,20.6,70.5,0
clay,6.217,daily,organic,28.9,56.7,1
loam,7.134,bi-weekly,none,31.0,52.6,0
sandy,5.489,daily,chemical,18.1,69.4,1
clay,8.317,weekly,none,27.5,60.3,0
loam,6.762,daily,organic,22.9,46.5,1
sandy,4.813,bi-weekly,chemical,30.0,71.8,0
clay,7.856,weekly,none,26.2,48.1,1
loam,5.334,daily,organic,17.6,57.7,0
sandy,9.104,bi-weekly,chemical,28.2,62.1,1
clay,6.698,daily,none,21.5,69.6,0
loam,8.019,weekly,organic,27.3,55.3,1
sandy,5.163,daily,none,31.5,50.8,0
clay,7.512,bi-weekly,chemical,19.0,61.2,1
loam,4.776,weekly,none,24.8,70.7,0
sandy,8.239,daily,organic,30.7,68.3,1
clay,6.658,bi-weekly,none,27.8,54.6,0
loam,7.093,weekly,chemical,20.4,70.0,1
sandy,5.451,daily,none,31.3,46.1,0
clay,8.991,bi-weekly,organic,27.9,57.2,1
loam,6.348,weekly,none,22.6,63.1,0
sandy,4.917,daily,chemical,28.7,54.5,1
clay,7.392,bi-weekly,none,31.1,68.6,0
loam,9.043,weekly,organic,26.4,70.1,1
sandy,5.789,daily,none,20.2,55.0,0
clay,6.917,weekly,chemical,18.6,61.4,1
loam,8.263,bi-weekly,none,30.6,47.5,0
sandy,5.124,daily,organic,27.1,62.3,1
clay,7.528,weekly,none,22.0,70.4,0
loam,4.932,bi-weekly,chemical,31.4,54.0,1
sandy,8.721,daily,none,24.1,55.6,0
clay,6.341,weekly,organic,30.9,69.1,1
loam,5.813,bi-weekly,none,26.0,60.2,0
sandy,7.491,daily,chemical,28.4,54.3,1
clay,9.263,weekly,none,22.4,69.2,0
loam,4.568,bi-weekly,organic,30.1,48.0,1
sandy,6.817,daily,none,26.3,61.1,0
clay,7.945,weekly,chemical,27.0,57.6,1
loam,8.012,bi-weekly,none,20.9,55.8,0
sandy,5.233,daily,organic,31.8,47.9,1
clay,6.456,weekly,none,24.9,70.8,0
loam,7.289,bi-weekly,chemical,28.6,60.9,1
sandy,4.671,daily,none,18.4,61.5,0
clay,8.846,weekly,organic,27.7,56.8,1
loam,5.922,bi-weekly,none,26.8,70.6,0
sandy,7.321,daily,chemical,20.3,47.3,1
clay,9.034,weekly,none,31.7,61.0,0
loam,6.127,bi-weekly,organic,22.1,55.7,1
sandy,5.652,daily,none,28.0,70.2,0
clay,7.528,weekly,chemical,30.5,60.1,1
loam,4.934,bi-weekly,none,24.5,61.7,0
sandy,8.273,daily,organic,27.9,69.5,1
clay,6.732,weekly,none,21.7,56.9,0
